OBJECTID,AREA,PERIMETER,DAMS500G_,DAMS500G_I,STATION,NAME,X_COORD,Y_COORD,TYPE,ALIAS,FEAT_ID,AREA_KM2,Shape_Length,Shape_Area
131,0.00104478234,0.185636833,132,110104, ,Chrissiesmeer,30.2183456,-26.3280392,NATURAL, ,0,1.04478237e-09,0.185636832379677,0.00104478234782396
132,0.000297435938,0.0754849985,133,110114, ,Eilandsmeer1,30.3056545,-26.3330898,NATURAL, ,0,2.97435937e-10,0.0754849990865405,0.000297435944078629
133,4.91340543e-05,0.0417951345,134,75, ,Taaibosspruit,26.3683338,-26.33708,RESERVOIR, ,0,4.91340545e-11,0.0417951326903404,4.9134051031864e-05
134,2.96849848e-05,0.0282341018,135,222,C2R006Q01,Elandskuil,26.7785225,-26.3452892,RESERVOIR, ,0,2.96849836e-11,0.0282341011428198,2.96849851746814e-05
135,0.000117789023,0.0508728437,136,110115, ,Lake Banagher,30.3601208,-26.3508892,NATURAL, ,0,1.17789015e-10,0.0508728438695871,0.000117789018200101
136,0.000124340382,0.0483723916,137,110113, ,Eilandsmeer2,30.3142834,-26.3541203,NATURAL, ,0,1.24340385e-10,0.0483723933164521,0.000124340389650887
137,4.90600469e-05,0.0297597665,138,224, ,Peter Wright,27.7303581,-26.3621807,RESERVOIR, ,0,4.90600477e-11,0.0297597656498602,4.90600456584162e-05
138,0.000132630899,0.0458960235,139,110112, ,Magdalenasmeer,30.287859,-26.3782806,NATURAL, ,0,1.32630892e-10,0.0458960240605826,0.000132630894360608
139,0.000183965822,0.0790871233,140,76,C2R007Q01,Rietspruit,26.8100758,-26.4081898,RESERVOIR, ,0,1.83965815e-10,0.0790871227902553,0.000183965827016982
140,0.000157306436,0.0853547677,141,79, ,Willem Brummer,29.9216347,-26.4632206,RESERVOIR, ,0,1.57306432e-10,0.0853547699086039,0.000157306443434427
141,4.7230511e-05,0.0452210642,142,78, ,Bethal,29.47995,-26.4508209,RESERVOIR, ,0,4.72305112e-11,0.0452210654822831,4.72305123029132e-05
142,0.000656259595,0.279631615,143,85,W5R002Q01,Westoe,30.6105728,-26.4949608,RESERVOIR, ,0,6.56259602e-10,0.279631603874078,0.000656259594119153
143,4.95638378e-05,0.0369292684,144,82, ,Douglas C11F,29.946125,-26.4680996,RESERVOIR, ,0,4.95638391e-11,0.0369292672069544,4.95638407427775e-05
144,0.000149076383,0.117022768,145,110111, ,Sandcliff,30.3577538,-26.4885292,RESERVOIR, ,0,1.49076376e-10,0.117022768666669,0.000149076384175243
145,4.20926299e-05,0.0364720337,146,81, ,Evander,29.1275082,-26.4923496,RESERVOIR, ,0,4.20926315e-11,0.0364720323820187,4.20926297803933e-05
